"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"PI3-kinase p110-alpha subunit","PIK3CA","P42336","CHEMBL4005","Enzyme","0.0743922719035","447 /  0     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.0743922719035","98 /  51     "
"Heat shock protein 75 kDa, mitochondrial","TRAP1","Q12931","CHEMBL1075132","Other cytosolic protein","0.0743922719035","5 /  0     "
"Heat shock protein HSP 90-beta","HSP90AB1","P08238","CHEMBL4303","Other cytosolic protein","0.0743922719035","58 /  0     "
"Phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.0743922719035","13 /  11     "
"P2X purinoceptor 3","P2RX3","P56373","CHEMBL2998","Ligand-gated ion channel","0.0743922719035","341 /  0     "
"C-C chemokine receptor type 1","CCR1","P32246","CHEMBL2413","Family A G protein-coupled receptor","0.0743922719035","124 /  0     "
"PI3-kinase p110-beta subunit","PIK3CB","P42338","CHEMBL3145","Enzyme","0.0743922719035","115 /  0     "
"Pregnane X receptor","NR1I2","O75469","CHEMBL3401","Nuclear receptor","0.0743922719035","6 /  0     "
"Proto-oncogene vav","VAV1","P15498","CHEMBL3259472","Unclassified protein","0.0743922719035","1 /  1     "
"Cyclin-dependent kinase 2","CDK2","P24941","CHEMBL301","Kinase","0.0743922719035","145 /  0     "
"Cyclin-dependent kinase 1","CDK1","P06493","CHEMBL308","Kinase","0.0743922719035","150 /  0     "
"Renin","REN","P00797","CHEMBL286","Protease","0.0743922719035","511 /  0     "
"Kappa Opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.0743922719035","500 /  12     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.0743922719035","112 /  3     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.0743922719035","132 /  22     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.0743922719035","215 /  0     "
"Splicing factor 3B subunit 3","SF3B3","Q15393","CHEMBL1250378","Unclassified protein","0.0743922719035","2 /  9     "
"MAP kinase ERK2","MAPK1","P28482","CHEMBL4040","Kinase","0.0743922719035","245 /  0     "
"Cyclin-dependent kinase 1/cyclin B","CCNB3 CDK1 CCNB1 CCNB2","Q8WWL7 P06493 P14635 O95067","CHEMBL2094127","Other cytosolic protein","0.0743922719035","19 /  0     "
"Cyclin-dependent kinase 2/cyclin A","CDK2 CCNA1 CCNA2","P24941 P78396 P20248","CHEMBL2094128","Other cytosolic protein","0.0743922719035","56 /  0     "
"Ribosomal protein S6 kinase alpha 3","RPS6KA3","P51812","CHEMBL2345","Kinase","0.0743922719035","8 /  0     "
"Apoptosis regulator Bcl-X","BCL2L1","Q07817","CHEMBL4625","Other ion channel","0.0743922719035","6 /  3     "
"Interleukin-8 receptor A","CXCR1","P25024","CHEMBL4029","Family A G protein-coupled receptor","0.0743922719035","58 /  2     "
"Nerve growth factor receptor Trk-A","NTRK1","P04629","CHEMBL2815","Kinase","0.0743922719035","148 /  0     "
"Fatty acid synthase","FASN","P49327","CHEMBL4158","Transferase","0.0743922719035","28 /  0     "
"Leucine-rich repeat serine/threonine-protein kinase 2","LRRK2","Q5S007","CHEMBL1075104","Kinase","0.0743922719035","119 /  0     "
"Brain adenylate cyclase 1","ADCY1","Q08828","CHEMBL2899","Enzyme","0.0743922719035","39 /  32     "
"Delta opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.0743922719035","467 /  1     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.0743922719035","104 /  9     "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.0743922719035","40 /  0     "
"Thrombin and coagulation factor X","F10","P00742","CHEMBL244","Protease","0.0743922719035","162 /  0     "
"CREB-binding protein/p53","CREBBP","Q92793","CHEMBL5747","Writer","0.0743922719035","14 /  0     "
"Sorbitol dehydrogenase","SORD","Q00796","CHEMBL2275","Enzyme","0.0743922719035","46 /  0     "
"Matrix metalloproteinase 3","MMP3","P08254","CHEMBL283","Protease","0.0743922719035","101 /  0     "
"Poly [ADP-ribose] polymerase-1","PARP1","P09874","CHEMBL3105","Enzyme","0.0743922719035","83 /  0     "
"PI3-kinase p110-delta subunit","PIK3CD","O00329","CHEMBL3130","Enzyme","0.0743922719035","82 /  0     "
"MAP kinase ERK1","MAPK3","P27361","CHEMBL3385","Kinase","0.0743922719035","14 /  0     "
"Serine/threonine-protein kinase Chk1","CHEK1","O14757","CHEMBL4630","Kinase","0.0743922719035","97 /  0     "
"Adenosine A3 receptor","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.0743922719035","254 /  0     "
"MAP kinase p38 alpha","MAPK14","Q16539","CHEMBL260","Kinase","0.0743922719035","217 /  0     "
"CDK8/Cyclin C","CCNC CDK8","P24863 P49336","CHEMBL3038474","Kinase","0.0743922719035","8 /  0     "
"Period circadian protein homolog 2","PER2","O15055","CHEMBL3751648","Unclassified protein","0.0743922719035","15 /  0     "
"Cell division protein kinase 8","CDK8","P49336","CHEMBL5719","Kinase","0.0743922719035","12 /  0     "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.0743922719035","27 /  40     "
"Matrix metalloproteinase 7","MMP7","P09237","CHEMBL4073","Protease","0.0743922719035","34 /  0     "
"P2X purinoceptor 7","P2RX7","Q99572","CHEMBL4805","Ligand-gated ion channel","0.0743922719035","22 /  0     "
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3","PFKFB3","Q16875","CHEMBL2331053","Enzyme","0.0743922719035","69 /  0     "
"Peptide N-myristoyltransferase 1","NMT1","P30419","CHEMBL2593","Enzyme","0.0743922719035","6 /  0     "
"Pyruvate dehydrogenase kinase isoform 1","PDK1","Q15118","CHEMBL4766","Kinase","0.0743922719035","15 /  0     "
"Transient receptor potential cation channel subfamily V member 4","TRPV4","Q9HBA0","CHEMBL3119","Voltage-gated ion channel","0.0743922719035","6 /  5     "
"Serine/threonine-protein kinase Aurora-A","AURKA","O14965","CHEMBL4722","Kinase","0.0743922719035","126 /  0     "
"Protein-tyrosine phosphatase 2C","PTPN11","Q06124","CHEMBL3864","Phosphatase","0.0743922719035","2 /  1     "
"Cytochrome P450 51","CYP51A1","Q16850","CHEMBL3849","Cytochrome P450","0.0743922719035","12 /  0     "
"Ribosomal protein S6 kinase alpha 5","RPS6KA5","O75582","CHEMBL4237","Kinase","0.0743922719035","3 /  3     "
"Inhibitor of nuclear factor kappa B kinase beta subunit","IKBKB","O14920","CHEMBL1991","Kinase","0.0743922719035","23 /  6     "
"Potassium-transporting ATPase alpha chain 2","ATP12A","P54707","CHEMBL2933","Primary active transporter","0.0743922719035","0 /  9     "
"Complement factor D","CFD","P00746","CHEMBL2176771","Protease","0.0743922719035","64 /  0     "
"Adenosine A2b receptor","ADORA2B","P29275","CHEMBL255","Family A G protein-coupled receptor","0.0743922719035","14 /  0     "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","0.0743922719035","170 /  0     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.0743922719035","40 /  5     "
"PI3-kinase p110-gamma subunit","PIK3CG","P48736","CHEMBL3267","Enzyme","0.0743922719035","90 /  0     "
"Tyrosine-protein kinase receptor UFO","AXL","P30530","CHEMBL4895","Kinase","0.0743922719035","25 /  0     "
"Tyrosine-protein kinase receptor TYRO3","TYRO3","Q06418","CHEMBL5314","Kinase","0.0743922719035","36 /  0     "
"Proto-oncogene tyrosine-protein kinase MER","MERTK","Q12866","CHEMBL5331","Kinase","0.0743922719035","34 /  0     "
"Protein farnesyltransferase","FNTA FNTB","P49354 P49356","CHEMBL2094108","Enzyme","0.0743922719035","32 /  8     "
"Protein Wnt-3a","WNT3A","P56704","CHEMBL1255137","Unclassified protein","0.0743922719035","12 /  0     "
"CDK2/Cyclin A","CCNA2 CDK2","P20248 P24941","CHEMBL3038469","Kinase","0.0743922719035","45 /  0     "
"Phosphodiesterase 10A","PDE10A","Q9Y233","CHEMBL4409","Phosphodiesterase","0.0743922719035","322 /  0     "
"Tankyrase-2","TNKS2","Q9H2K2","CHEMBL6154","Enzyme","0.0743922719035","21 /  0     "
"Serine/threonine-protein kinase B-raf","BRAF","P15056","CHEMBL5145","Kinase","0.0743922719035","102 /  0     "
"Insulin-like growth factor I receptor","IGF1R","P08069","CHEMBL1957","Kinase","0.0743922719035","105 /  0     "
"Beta secretase 2","BACE2","Q9Y5Z0","CHEMBL2525","Protease","0.0743922719035","70 /  0     "
"Dual specificity mitogen-activated protein kinase kinase 1","MAP2K1","Q02750","CHEMBL3587","Kinase","0.0743922719035","151 /  0     "
"Mitogen-activated protein kinase kinase kinase 1","MAP3K1","Q13233","CHEMBL3956","Kinase","0.0743922719035","2 /  0     "
"Proto-oncogene tyrosine-protein kinase ROS","ROS1","P08922","CHEMBL5568","Kinase","0.0743922719035","17 /  0     "
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform","PPP2CA","P67775","CHEMBL4703","Phosphatase","0.0743922719035","2 /  8     "
"Receptor protein-tyrosine kinase erbB-2","ERBB2","P04626","CHEMBL1824","Kinase","0.0743922719035","59 /  0     "
"Macrophage colony stimulating factor receptor","CSF1R","P07333","CHEMBL1844","Kinase","0.0743922719035","68 /  0     "
"Stem cell growth factor receptor","KIT","P10721","CHEMBL1936","Kinase","0.0743922719035","27 /  0     "
