Target,Common.name,Uniprot.ID,ChEMBL.ID,Target.Class,Probability.,Known.actives..3D.2D.,Compuesto
Proto-oncogene tyrosine-protein kinase MER,MERTK,Q12866,CHEMBL5331,Kinase,0.121906255063,31 /  0     ,A
Beta secretase 2,BACE2,Q9Y5Z0,CHEMBL2525,Protease,0.121906255063,38 /  0     ,A
Toll-like receptor (TLR7/TLR9),TLR9,Q9NR96,CHEMBL5804,Toll-like and Il-1 receptors,0.121906255063,8 /  2     ,A
P2X purinoceptor 3,P2RX3,P56373,CHEMBL2998,Ligand-gated ion channel,0.121906255063,288 /  0     ,A
Pregnane X receptor,NR1I2,O75469,CHEMBL3401,Nuclear receptor,0.121906255063,6 /  0     ,A
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.121906255063,9 /  2     ,A
Low affinity sodium-glucose cotransporter,SLC5A4,Q9NY91,CHEMBL1770047,Electrochemical transporter,0.121906255063,14 /  0     ,A
Gamma-secretase,PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B,P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43,CHEMBL2094135,Protease,0.121906255063,48 /  0     ,A
Sorbitol dehydrogenase,SORD,Q00796,CHEMBL2275,Enzyme,0.121906255063,44 /  0     ,A
Mitogen-activated protein kinase kinase kinase 1,MAP3K1,Q13233,CHEMBL3956,Kinase,0.121906255063,2 /  0     ,A
Interleukin-8 receptor B,CXCR2,P25025,CHEMBL2434,Family A G protein-coupled receptor,0.121906255063,86 /  0     ,A
Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.121906255063,14 /  0     ,A
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0.121906255063,39 /  0     ,A
Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.121906255063,7 /  0     ,A
Sodium/glucose cotransporter 2,SLC5A2,P31639,CHEMBL3884,Electrochemical transporter,0.121906255063,181 /  0     ,A
Prostaglandin E synthase,PTGES,O14684,CHEMBL5658,Enzyme,0.121906255063,13 /  7     ,A
Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,0.121906255063,94 /  0     ,A
Sodium channel protein type IX alpha subunit,SCN9A,Q15858,CHEMBL4296,Voltage-gated ion channel,0.121906255063,280 /  0     ,A
Serine/threonine-protein kinase PIM2,PIM2,Q9P1W9,CHEMBL4523,Kinase,0.121906255063,68 /  0     ,A
Serine/threonine-protein kinase PIM3,PIM3,Q86V86,CHEMBL5407,Kinase,0.121906255063,50 /  0     ,A
G protein-coupled receptor kinase 7,GRK7,Q8WTQ7,CHEMBL1075133,Kinase,0.121906255063,3 /  0     ,A
Serine/threonine-protein kinase 38,STK38,Q15208,CHEMBL1075155,Kinase,0.121906255063,2 /  0     ,A
Homeodomain-interacting protein kinase 4,HIPK4,Q8NE63,CHEMBL1075167,Kinase,0.121906255063,2 /  0     ,A
Serine/threonine-protein kinase TAO2,TAOK2,Q9UL54,CHEMBL1075195,Kinase,0.121906255063,1 /  0     ,A
Serine/threonine-protein kinase/endoribonuclease IRE1,ERN1,O75460,CHEMBL1163101,Enzyme,0.121906255063,9 /  0     ,A
Serine/threonine-protein kinase OSR1,OXSR1,O95747,CHEMBL1163104,Kinase,0.121906255063,2 /  0     ,A
Serine/threonine-protein kinase MAK,MAK,P20794,CHEMBL1163106,Kinase,0.121906255063,1 /  0     ,A
STE20/SPS1-related proline-alanine-rich protein kinase,STK39,Q9UEW8,CHEMBL1163108,Kinase,0.121906255063,2 /  0     ,A
Cyclin-dependent kinase-like 5,CDKL5,O76039,CHEMBL1163112,Kinase,0.121906255063,1 /  0     ,A
Cyclin-dependent kinase-like 3,CDKL3,Q8IVW4,CHEMBL1163117,Kinase,0.121906255063,1 /  0     ,A
U4/U6 small nuclear ribonucleoprotein Prp4,PRPF4,O43172,CHEMBL1163119,Other nuclear protein,0.121906255063,1 /  0     ,A
Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit gamma,PIK3C2G,O75747,CHEMBL1163120,Enzyme,0.121906255063,2 /  0     ,A
Mitogen-activated protein kinase kinase kinase 6,MAP3K6,O95382,CHEMBL1163123,Kinase,0.121906255063,1 /  0     ,A
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.133944629355,171 /  15     ,B
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.133944629355,86 /  232     ,B
HMG-CoA reductase,HMGCR,P04035,CHEMBL402,Oxidoreductase,0.133944629355,198 /  109     ,B
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.125687252905,124 /  27     ,B
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.125687252905,101 /  57     ,B
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.125687252905,40 /  42     ,B
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.125687252905,4 /  3     ,B
Phospholipase A2 group IIA,PLA2G2A,P14555,CHEMBL3474,Enzyme,0.125687252905,16 /  8     ,B
Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.125687252905,81 /  57     ,B
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.125687252905,11 /  11     ,B
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.125687252905,5 /  2     ,B
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.125687252905,136 /  67     ,B
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.125687252905,23 /  6     ,B
Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.125687252905,23 /  27     ,B
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.125687252905,46 /  6     ,B
Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0.125687252905,5 /  14     ,B
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.125687252905,33 /  6     ,B
Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.125687252905,30 /  3     ,B
Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.125687252905,19 /  5     ,B
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.125687252905,567 /  10     ,B
Glutathione S-transferase Mu 1,GSTM1,P09488,CHEMBL2081,Enzyme,0.125687252905,0 /  1     ,B
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.125687252905,0 /  4     ,B
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.125687252905,58 /  15     ,B
Carboxylesterase 2,CES2,O00748,CHEMBL3180,Enzyme,0.125687252905,5 /  12     ,B
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.125687252905,220 /  0     ,B
Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0.125687252905,32 /  83     ,B
Subtilisin/kexin type 7,PCSK7,Q16549,CHEMBL2232,Protease,0.125687252905,1 /  1     ,B
Mineralocorticoid receptor,NR3C2,P08235,CHEMBL1994,Nuclear receptor,0.125687252905,15 /  19     ,B
Proteinase-activated receptor 2,F2RL1,P55085,CHEMBL5963,Family A G protein-coupled receptor,0.125687252905,0 /  1     ,B
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.125687252905,55 /  7     ,B
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.125687252905,250 /  27     ,B
Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.125687252905,59 /  2     ,B
Pregnane X receptor,NR1I2,O75469,CHEMBL3401,Nuclear receptor,0.125687252905,6 /  0     ,B
Adenosine A1 receptor,ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.125687252905,219 /  2     ,B
Thrombin,F2,P00734,CHEMBL204,Protease,0.125687252905,66 /  9     ,B
Programmed cell death protein 4,PDCD4,Q53EL6,CHEMBL1781868,Unclassified protein,0.125687252905,0 /  8     ,B
Prostaglandin E synthase,PTGES,O14684,CHEMBL5658,Enzyme,0.125687252905,17 /  8     ,B
Period circadian protein homolog 2,PER2,O15055,CHEMBL3751648,Unclassified protein,0.125687252905,16 /  0     ,B
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.125687252905,153 /  0     ,B
Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.125687252905,113 /  3     ,B
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",PPP2CA,P67775,CHEMBL4703,Phosphatase,0.125687252905,2 /  8     ,B
Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1,O14983,CHEMBL3136,Hydrolase,0.125687252905,0 /  4     ,B
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.125687252905,243 /  0     ,B
Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0.125687252905,498 /  1     ,B
Corticosteroid binding globulin,SERPINA6,P08185,CHEMBL2421,Secreted protein,0.125687252905,11 /  15     ,B
Gamma-secretase,PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B,P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43,CHEMBL2094135,Protease,0.125687252905,114 /  0     ,B
Protein-tyrosine phosphatase 2C,PTPN11,Q06124,CHEMBL3864,Phosphatase,0.125687252905,3 /  2     ,B
Protein farnesyltransferase,FNTA FNTB,P49354 P49356,CHEMBL2094108,Enzyme,0.125687252905,34 /  10     ,B
Ribosomal protein S6 kinase alpha 5,RPS6KA5,O75582,CHEMBL4237,Kinase,0.125687252905,5 /  3     ,B
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.125687252905,49 /  0     ,B
P2X purinoceptor 3,P2RX3,P56373,CHEMBL2998,Ligand-gated ion channel,0.125687252905,306 /  0     ,B
MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.125687252905,192 /  0     ,B
CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.125687252905,14 /  0     ,B
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.125687252905,142 /  0     ,B
Proto-oncogene vav,VAV1,P15498,CHEMBL3259472,Unclassified protein,0.125687252905,1 /  1     ,B
Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,CHEMBL1075104,Kinase,0.125687252905,109 /  0     ,B
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.125687252905,14 /  2     ,B
Liver glycogen phosphorylase,PYGL,P06737,CHEMBL2568,Enzyme,0.125687252905,98 /  0     ,B
Muscle glycogen phosphorylase,PYGM,P11217,CHEMBL3526,Enzyme,0.125687252905,2 /  0     ,B
Cytochrome P450 51,CYP51A1,Q16850,CHEMBL3849,Cytochrome P450,0.125687252905,11 /  0     ,B
Serine/threonine-protein kinase mTOR,MTOR,P42345,CHEMBL2842,Kinase,0.125687252905,186 /  0     ,B
PI3-kinase p110-alpha subunit,PIK3CA,P42336,CHEMBL4005,Enzyme,0.125687252905,353 /  0     ,B
Inosine-5'-monophosphate dehydrogenase 1,IMPDH1,P20839,CHEMBL1822,Oxidoreductase,0.125687252905,7 /  0     ,B
Inosine-5'-monophosphate dehydrogenase 2,IMPDH2,P12268,CHEMBL2002,Oxidoreductase,0.125687252905,42 /  0     ,B
Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.125687252905,29 /  0     ,B
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0.125687252905,57 /  0     ,B
Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.125687252905,9 /  0     ,B
CDK8/Cyclin C,CCNC CDK8,P24863 P49336,CHEMBL3038474,Kinase,0.125687252905,8 /  0     ,B
MAP kinase p38 beta,MAPK11,Q15759,CHEMBL3961,Kinase,0.125687252905,21 /  0     ,B
Cell division protein kinase 8,CDK8,P49336,CHEMBL5719,Kinase,0.125687252905,16 /  0     ,B
Leukocyte adhesion glycoprotein LFA-1 alpha,ITGAL,P20701,CHEMBL1803,Adhesion,0.125687252905,0 /  4     ,B
Proto-oncogene c-JUN,JUN,P05412,CHEMBL4977,Transcription factor,0.125687252905,8 /  6     ,B
Glycogen synthase kinase-3 alpha,GSK3A,P49840,CHEMBL2850,Kinase,0.125687252905,19 /  0     ,B
Tyrosine-protein kinase JAK3,JAK3,P52333,CHEMBL2148,Kinase,0.125687252905,139 /  0     ,B
PI3-kinase p110-beta subunit,PIK3CB,P42338,CHEMBL3145,Enzyme,0.125687252905,131 /  0     ,B
Platelet-derived growth factor receptor beta,PDGFRB,P09619,CHEMBL1913,Kinase,0.125687252905,21 /  0     ,B
Stem cell growth factor receptor,KIT,P10721,CHEMBL1936,Kinase,0.125687252905,37 /  0     ,B
Phosphodiesterase 10A,PDE10A,Q9Y233,CHEMBL4409,Phosphodiesterase,0.125687252905,378 /  0     ,B
LIM domain kinase 2,LIMK2,P53671,CHEMBL5932,Kinase,0.125687252905,11 /  0     ,B
11-beta-hydroxysteroid dehydrogenase 2,HSD11B2,P80365,CHEMBL3746,Enzyme,0.125687252905,9 /  12     ,B
Phosphodiesterase 2A,PDE2A,O00408,CHEMBL2652,Phosphodiesterase,0.125687252905,86 /  0     ,B
p53-binding protein Mdm-2,MDM2,Q00987,CHEMBL5023,Other nuclear protein,0.125687252905,247 /  0     ,B
Toll-like receptor (TLR7/TLR9),TLR9,Q9NR96,CHEMBL5804,Toll-like and Il-1 receptors,0.125687252905,7 /  2     ,B
Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.125687252905,139 /  0     ,B
Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.125687252905,156 /  0     ,B
NAD-dependent deacetylase sirtuin 2,SIRT2,Q8IXJ6,CHEMBL4462,Eraser,0.125687252905,5 /  0     ,B
Peptide N-myristoyltransferase 1,NMT1,P30419,CHEMBL2593,Enzyme,0.125687252905,5 /  0     ,B
Protein kinase C (PKC),PRKCZ,Q05513,CHEMBL3438,Kinase,0.125687252905,3 /  0     ,B
DNA-dependent protein kinase,PRKDC,P78527,CHEMBL3142,Kinase,0.125687252905,81 /  0     ,B
Cyclin-dependent kinase 2/cyclin E1,CCNE1 CDK2,P24864 P24941,CHEMBL1907605,Kinase,0.125687252905,43 /  0     ,B
Nociceptin receptor,OPRL1,P41146,CHEMBL2014,Family A G protein-coupled receptor,0.125687252905,183 /  0     ,B
P2X purinoceptor 7,P2RX7,Q99572,CHEMBL4805,Ligand-gated ion channel,0.125687252905,27 /  0     ,B
Cyclin-dependent kinase 4/cyclin D1,CCND1 CDK4,P24385 P11802,CHEMBL1907601,Kinase,0.125687252905,54 /  0     ,B
Oxytocin receptor,OXTR,P30559,CHEMBL2049,Family A G protein-coupled receptor,0.125687252905,19 /  0     ,B
Cyclin-dependent kinase 2/cyclin E,CCNE2 CDK2 CCNE1,O96020 P24941 P24864,CHEMBL2094126,Other cytosolic protein,0.125687252905,57 /  0     ,B
Interleukin-1 beta,IL1B,P01584,CHEMBL1909490,Secreted protein,0.125687252905,3 /  3     ,B
Thrombin and coagulation factor X,F10,P00742,CHEMBL244,Protease,0.125687252905,176 /  0     ,B
Adenosine A2a receptor,ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0.125687252905,153 /  0     ,B
Dual specificity phosphatase Cdc25C,CDC25C,P30307,CHEMBL2378,Phosphatase,0.125687252905,0 /  4     ,B
Insulin receptor,INSR,P06213,CHEMBL1981,Kinase,0.125687252905,16 /  0     ,B
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.142209034952,4 /  3     ,C
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.142209034952,125 /  38     ,C
HMG-CoA reductase,HMGCR,P04035,CHEMBL402,Oxidoreductase,0.133944629355,180 /  112     ,C
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.133944629355,21 /  6     ,C
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.133944629355,73 /  226     ,C
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.133944629355,149 /  72     ,C
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.125687252905,568 /  9     ,C
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.125687252905,5 /  2     ,C
Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.125687252905,78 /  51     ,C
Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.125687252905,30 /  3     ,C
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.125687252905,43 /  6     ,C
Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.125687252905,19 /  5     ,C
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.125687252905,38 /  42     ,C
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.125687252905,178 /  15     ,C
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.125687252905,77 /  68     ,C
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.125687252905,51 /  15     ,C
Protein-tyrosine phosphatase 2C,PTPN11,Q06124,CHEMBL3864,Phosphatase,0.125687252905,1 /  2     ,C
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.125687252905,36 /  5     ,C
Mineralocorticoid receptor,NR3C2,P08235,CHEMBL1994,Nuclear receptor,0.125687252905,14 /  19     ,C
Phospholipase A2 group IIA,PLA2G2A,P14555,CHEMBL3474,Enzyme,0.125687252905,11 /  8     ,C
Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0.125687252905,488 /  1     ,C
Serine/threonine protein phosphatase PP1-gamma catalytic subunit,PPP1CC,P36873,CHEMBL4438,Phosphatase,0.125687252905,0 /  7     ,C
Proteinase-activated receptor 2,F2RL1,P55085,CHEMBL5963,Family A G protein-coupled receptor,0.125687252905,0 /  1     ,C
Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0.125687252905,34 /  76     ,C
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.125687252905,198 /  0     ,C
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.125687252905,237 /  29     ,C
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",PPP2CA,P67775,CHEMBL4703,Phosphatase,0.125687252905,1 /  8     ,C
Dual specificity phosphatase Cdc25C,CDC25C,P30307,CHEMBL2378,Phosphatase,0.125687252905,0 /  4     ,C
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.125687252905,52 /  7     ,C
Ribosomal protein S6 kinase alpha 5,RPS6KA5,O75582,CHEMBL4237,Kinase,0.125687252905,5 /  3     ,C
